"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"14","1","W84","","01_Menor de 1 año","3"
"26","1","I51","","16_75 a 79","1"
"74","1","X74","","05_20 a 24","2"
"02","2","C79","","16_75 a 79","2"
"06","1","V43","","09_40 a 44","1"
"62","2","A41","","08_35 a 39","1"
"90","1","E11","","12_55 a 59","6"
"62","1","E41","","16_75 a 79","1"
"10","2","A41","","15_70 a 74","8"
"46","1","J18","","11_50 a 54","1"
"42","1","I50","","09_40 a 44","1"
"50","1","J98","","12_55 a 59","2"
"46","1","N19","","08_35 a 39","1"
"66","1","K92","","11_50 a 54","9"
"90","2","R99","","16_75 a 79","69"
"02","1","G04","","17_80 y más","1"
"06","2","C71","","12_55 a 59","11"
"06","2","A49","","12_55 a 59","1"
"06","2","Q25","","02_1 a 9","1"
"06","1","J45","","10_45 a 49","2"
"58","1","Q41","","01_Menor de 1 año","1"
"50","2","C18","","10_45 a 49","2"
"90","2","C55","","10_45 a 49","4"
"50","2","X70","","05_20 a 24","8"
"02","1","K70","","15_70 a 74","1"
"26","2","N19","","16_75 a 79","2"
"22","1","K83","","01_Menor de 1 año","1"
"14","1","B20","","09_40 a 44","2"
"14","2","Q04","","02_1 a 9","1"
"70","1","E10","","06_25 a 29","1"
"62","1","G93","","17_80 y más","1"
"10","1","J81","","11_50 a 54","3"
"30","2","J69","","07_30 a 34","1"
"02","2","Y17","","13_60 a 64","1"
"18","2","E88","","14_65 a 69","1"
"06","1","X47","","10_45 a 49","1"
"30","2","C71","","06_25 a 29","1"
"34","1","C61","","11_50 a 54","1"
"14","2","C57","","13_60 a 64","1"
"18","2","I10","","12_55 a 59","1"
"02","2","E66","","15_70 a 74","1"
"62","1","X74","","14_65 a 69","2"
"46","1","I61","","11_50 a 54","3"
"14","2","D64","","17_80 y más","10"
"10","1","C24","","15_70 a 74","2"
"06","2","C44","","17_80 y más","4"
"26","2","X80","","09_40 a 44","1"
"50","1","I67","","09_40 a 44","2"
"26","1","K85","","13_60 a 64","1"
"26","1","I11","","11_50 a 54","1"
