anio,categoria,edad_bracket,muertes
2021,Homicidios,40-49,31
2021,Homicidios,50-59,17
2021,Homicidios,60-69,14
2021,Homicidios,70-79,5
2021,Homicidios,80+,13
2022,Homicidios,0-19,39
2022,Homicidios,20-39,105
2022,Homicidios,40-49,27
2022,Homicidios,50-59,20
2022,Homicidios,60-69,27
2022,Homicidios,70-79,21
2022,Homicidios,80+,7
2023,Homicidios,0-19,32
2023,Homicidios,20-39,118
2023,Homicidios,40-49,50
2023,Homicidios,50-59,26
2023,Homicidios,60-69,16
2023,Homicidios,70-79,20
2023,Homicidios,80+,13
2024,Homicidios,0-19,24
2024,Homicidios,20-39,78
2024,Homicidios,40-49,26
2024,Homicidios,50-59,19
2024,Homicidios,60-69,18
2024,Homicidios,70-79,9
2024,Homicidios,80+,10
2005,R99,0-19,150
2005,R99,20-39,153
2005,R99,40-49,161
2005,R99,50-59,365
2005,R99,60-69,697
2005,R99,70-79,1674
2005,R99,80+,3718
2006,R99,0-19,156
2006,R99,20-39,130
2006,R99,40-49,173
2006,R99,50-59,384
2006,R99,60-69,688
2006,R99,70-79,1514
2006,R99,80+,3621
2007,R99,0-19,153
2007,R99,20-39,168
2007,R99,40-49,209
2007,R99,50-59,396
2007,R99,60-69,777
2007,R99,70-79,1792
2007,R99,80+,4520
2008,R99,0-19,188
2008,R99,20-39,159
2008,R99,40-49,196
2008,R99,50-59,476
2008,R99,60-69,820
2008,R99,70-79,1681
2008,R99,80+,4430
2009,R99,0-19,188
2009,R99,20-39,196
2009,R99,40-49,202
2009,R99,50-59,442
2009,R99,60-69,916
2009,R99,70-79,1862
2009,R99,80+,4938
2010,R99,0-19,166
2010,R99,20-39,143
2010,R99,40-49,185
2010,R99,50-59,437
2010,R99,60-69,910
2010,R99,70-79,1885
2010,R99,80+,5396
2011,R99,0-19,146
2011,R99,20-39,134
2011,R99,40-49,212
2011,R99,50-59,427
2011,R99,60-69,881
2011,R99,70-79,1861
2011,R99,80+,5704
2012,R99,0-19,137
2012,R99,20-39,178
2012,R99,40-49,186
2012,R99,50-59,410
2012,R99,60-69,848
2012,R99,70-79,1735
2012,R99,80+,5177
2013,R99,0-19,95
2013,R99,20-39,138
2013,R99,40-49,159
2013,R99,50-59,417
2013,R99,60-69,907
2013,R99,70-79,1756
2013,R99,80+,5552
2014,R99,0-19,120
2014,R99,20-39,144
2014,R99,40-49,149
2014,R99,50-59,352
2014,R99,60-69,762
2014,R99,70-79,1509
2014,R99,80+,4706
2015,R99,0-19,117
2015,R99,20-39,116
2015,R99,40-49,135
2015,R99,50-59,270
2015,R99,60-69,620
2015,R99,70-79,1183
2015,R99,80+,3629
2016,R99,0-19,150
2016,R99,20-39,140
2016,R99,40-49,162
2016,R99,50-59,305
2016,R99,60-69,716
2016,R99,70-79,1351
2016,R99,80+,3948
2017,R99,0-19,86
2017,R99,20-39,102
2017,R99,40-49,140
2017,R99,50-59,275
2017,R99,60-69,660
2017,R99,70-79,1165
2017,R99,80+,3569
2018,R99,0-19,123
2018,R99,20-39,125
2018,R99,40-49,153
2018,R99,50-59,286
2018,R99,60-69,676
2018,R99,70-79,1287
2018,R99,80+,3595
2019,R99,0-19,132
2019,R99,20-39,130
2019,R99,40-49,138
2019,R99,50-59,302
2019,R99,60-69,782
2019,R99,70-79,1400
2019,R99,80+,3925
2020,R99,0-19,94
2020,R99,20-39,165
2020,R99,40-49,168
2020,R99,50-59,373
2020,R99,60-69,775
2020,R99,70-79,1569
2020,R99,80+,4661
2021,R99,0-19,82
2021,R99,20-39,167
2021,R99,40-49,196
2021,R99,50-59,387
2021,R99,60-69,888
2021,R99,70-79,1739
2021,R99,80+,5193
2022,R99,0-19,121
2022,R99,20-39,169
2022,R99,40-49,209
2022,R99,50-59,400
2022,R99,60-69,931
2022,R99,70-79,1965
2022,R99,80+,5709
2023,R99,0-19,76
2023,R99,20-39,163
2023,R99,40-49,202
2023,R99,50-59,362
2023,R99,60-69,878
2023,R99,70-79,1840
2023,R99,80+,5039
2024,R99,0-19,69
2024,R99,20-39,173
2024,R99,40-49,212
2024,R99,50-59,407
2024,R99,60-69,1071
2024,R99,70-79,2274
2024,R99,80+,6278
2005,Y20-Y25/Y28-Y30,0-19,38
2005,Y20-Y25/Y28-Y30,20-39,55
2005,Y20-Y25/Y28-Y30,40-49,18
2005,Y20-Y25/Y28-Y30,50-59,12
2005,Y20-Y25/Y28-Y30,60-69,11
2005,Y20-Y25/Y28-Y30,70-79,15
2005,Y20-Y25/Y28-Y30,80+,6
2006,Y20-Y25/Y28-Y30,0-19,24
2006,Y20-Y25/Y28-Y30,20-39,53
2006,Y20-Y25/Y28-Y30,40-49,14
2006,Y20-Y25/Y28-Y30,50-59,12
2006,Y20-Y25/Y28-Y30,60-69,14
2006,Y20-Y25/Y28-Y30,70-79,6
2006,Y20-Y25/Y28-Y30,80+,6
2007,Y20-Y25/Y28-Y30,0-19,35
2007,Y20-Y25/Y28-Y30,20-39,58
2007,Y20-Y25/Y28-Y30,40-49,27
2007,Y20-Y25/Y28-Y30,50-59,20
2007,Y20-Y25/Y28-Y30,60-69,17
2007,Y20-Y25/Y28-Y30,70-79,6
2007,Y20-Y25/Y28-Y30,80+,3
2008,Y20-Y25/Y28-Y30,0-19,38
2008,Y20-Y25/Y28-Y30,20-39,82
2008,Y20-Y25/Y28-Y30,40-49,39
2008,Y20-Y25/Y28-Y30,50-59,28
2008,Y20-Y25/Y28-Y30,60-69,17
2008,Y20-Y25/Y28-Y30,70-79,13
2008,Y20-Y25/Y28-Y30,80+,14
2009,Y20-Y25/Y28-Y30,0-19,50
2009,Y20-Y25/Y28-Y30,20-39,77
2009,Y20-Y25/Y28-Y30,40-49,27
2009,Y20-Y25/Y28-Y30,50-59,29
2009,Y20-Y25/Y28-Y30,60-69,23
2009,Y20-Y25/Y28-Y30,70-79,13
2009,Y20-Y25/Y28-Y30,80+,13
2010,Y20-Y25/Y28-Y30,0-19,43
2010,Y20-Y25/Y28-Y30,20-39,74
2010,Y20-Y25/Y28-Y30,40-49,24
2010,Y20-Y25/Y28-Y30,50-59,28
2010,Y20-Y25/Y28-Y30,60-69,26
2010,Y20-Y25/Y28-Y30,70-79,22
2010,Y20-Y25/Y28-Y30,80+,14
2011,Y20-Y25/Y28-Y30,0-19,48
2011,Y20-Y25/Y28-Y30,20-39,126
2011,Y20-Y25/Y28-Y30,40-49,36
2011,Y20-Y25/Y28-Y30,50-59,41
2011,Y20-Y25/Y28-Y30,60-69,28
2011,Y20-Y25/Y28-Y30,70-79,22
2011,Y20-Y25/Y28-Y30,80+,15
2012,Y20-Y25/Y28-Y30,0-19,57
2012,Y20-Y25/Y28-Y30,20-39,85
2012,Y20-Y25/Y28-Y30,40-49,32
2012,Y20-Y25/Y28-Y30,50-59,41
2012,Y20-Y25/Y28-Y30,60-69,22
2012,Y20-Y25/Y28-Y30,70-79,12
2012,Y20-Y25/Y28-Y30,80+,13
2013,Y20-Y25/Y28-Y30,0-19,62
2013,Y20-Y25/Y28-Y30,20-39,92
2013,Y20-Y25/Y28-Y30,40-49,39
2013,Y20-Y25/Y28-Y30,50-59,33
2013,Y20-Y25/Y28-Y30,60-69,17
