age,anio_def,cause,excess_total,attributable,se_attrib,lower95,upper95
02.de 20 a 39 anios,2021,alzheimer,-0.7600696058766537,0.2237393341743713,0.26880548059394227,-0.30311940778975555,0.7505980761384982
02.de 20 a 39 anios,2021,metabolic,-6.437233830581535,6.514337786545752,3.027438146559966,0.5805590192882191,12.448116553803285
02.de 20 a 39 anios,2021,anemia,-4.707525139145394,6.825307196911493,2.041740612530066,2.823495596352563,10.827118797470423
02.de 20 a 39 anios,2022,resp,154.61434624938278,49.489806201635055,16.343352728512894,17.456834853749783,81.52277754952033
02.de 20 a 39 anios,2022,circ,241.37719743361163,-19.88430685598979,13.015849575102676,-45.39537202319104,5.626758311211454
02.de 20 a 39 anios,2022,diabetes,38.96496194258804,21.357318501058803,1.9002806864956643,17.6327683555273,25.081868646590305
02.de 20 a 39 anios,2022,alzheimer,0.24991299265418412,-0.8286672951224645,0.3077757418313137,-1.4319077491118393,-0.22542684113308975
02.de 20 a 39 anios,2022,metabolic,1.8034577117731119,0.614414132930009,1.7762783761039445,-2.867091484233722,4.09591975009374
02.de 20 a 39 anios,2022,anemia,-0.5844064239317273,-2.6653631071582455,1.2419702072778478,-5.099624713422827,-0.2311015008936641
02.de 20 a 39 anios,2023,resp,73.61721549926203,38.072094274606464,6.5740516650667935,25.18695301107555,50.95723553813738
02.de 20 a 39 anios,2023,circ,175.09263692033747,-86.29165497077307,7.628951864716802,-101.244400625618,-71.33890931592813
02.de 20 a 39 anios,2023,diabetes,-5.202045668893977,-13.878353962059123,4.250859118744975,-22.210037834799273,-5.546670089318972
02.de 20 a 39 anios,2023,alzheimer,3.2598955911850256,-2.264985989149147,0.5779274627280742,-3.397723816096172,-1.1322481622021214
02.de 20 a 39 anios,2023,metabolic,-4.955850745872159,-3.9917482085291374,1.4833829403843861,-6.899178771682534,-1.0843176453757408
02.de 20 a 39 anios,2023,anemia,2.538712291281983,-4.3363515244225805,1.0246705954372213,-6.344705891479534,-2.327997157365627
02.de 20 a 39 anios,2024,resp,296.620084749137,NA,21.989091167979293,NA,NA
02.de 20 a 39 anios,2024,circ,317.80807640705774,NA,16.991882225325703,NA,NA
02.de 20 a 39 anios,2024,diabetes,9.63094671962341,NA,4.230266858651826,NA,NA
02.de 20 a 39 anios,2024,alzheimer,-0.7301218102841404,NA,0.5017612679445584,NA,NA
02.de 20 a 39 anios,2024,metabolic,3.284840796482399,NA,2.145201854881668,NA,NA
02.de 20 a 39 anios,2024,anemia,8.661831006495603,NA,2.100023455365266,NA,NA
03.de 40 a 49 anios,2015,resp,-166.17743824499865,0,0,0,0
03.de 40 a 49 anios,2015,circ,-37.58163550429518,0,0,0,0
03.de 40 a 49 anios,2015,diabetes,-31.050658422757937,0,0,0,0
03.de 40 a 49 anios,2015,alzheimer,-0.18705151452097135,0,0,0,0
03.de 40 a 49 anios,2015,metabolic,-10.852548972979399,0,0,0,0
03.de 40 a 49 anios,2015,anemia,6.0395469813620295,-0,0,-0,0
03.de 40 a 49 anios,2016,resp,205.21128087749977,NA,0,NA,NA
03.de 40 a 49 anios,2016,circ,-1.5908177521494906,NA,0,NA,NA
03.de 40 a 49 anios,2016,diabetes,22.274670788620803,NA,0,NA,NA
03.de 40 a 49 anios,2016,alzheimer,0.8064742427395133,NA,0,NA,NA
03.de 40 a 49 anios,2016,metabolic,-4.026274486489722,NA,0,NA,NA
03.de 40 a 49 anios,2016,anemia,-2.0802265093190013,NA,0,NA,NA
03.de 40 a 49 anios,2017,resp,-22.40000000000002,NA,0,NA,NA
03.de 40 a 49 anios,2017,circ,-3.6000000000000227,NA,0,NA,NA
03.de 40 a 49 anios,2017,diabetes,4.599999999999994,NA,0,NA,NA
03.de 40 a 49 anios,2017,alzheimer,-1.2,NA,0,NA,NA
03.de 40 a 49 anios,2017,metabolic,2.8000000000000003,NA,0,NA,NA
03.de 40 a 49 anios,2017,anemia,5.8,NA,0,NA,NA
03.de 40 a 49 anios,2018,resp,9.988719122499333,NA,0,NA,NA
03.de 40 a 49 anios,2018,circ,23.39081775214774,NA,0,NA,NA
03.de 40 a 49 anios,2018,diabetes,7.925329211378983,NA,0,NA,NA
03.de 40 a 49 anios,2018,alzheimer,0.7935257572604857,NA,0,NA,NA
03.de 40 a 49 anios,2018,metabolic,3.6262744864897014,NA,0,NA,NA
03.de 40 a 49 anios,2018,anemia,-6.319773490681014,NA,0,NA,NA
03.de 40 a 49 anios,2019,resp,-26.622561755001314,NA,0,NA,NA
03.de 40 a 49 anios,2019,circ,19.381635504295417,NA,0,NA,NA
03.de 40 a 49 anios,2019,diabetes,-3.749341577242056,NA,0,NA,NA
03.de 40 a 49 anios,2019,alzheimer,-0.21294848547902856,NA,0,NA,NA
03.de 40 a 49 anios,2019,metabolic,8.4525489729794,NA,0,NA,NA
03.de 40 a 49 anios,2019,anemia,-3.439546981362027,NA,0,NA,NA
03.de 40 a 49 anios,2020,resp,-36.23384263250195,56.1630571473713,22.951327865281176,11.178454531420194,101.1476597633224
03.de 40 a 49 anios,2020,circ,98.37245325644324,180.13835658994319,15.93285977367127,148.9099514335475,211.36676174633888
03.de 40 a 49 anios,2020,diabetes,24.575987634136933,112.4913773860895,7.937835502812665,96.93321980057667,128.04953497160233
03.de 40 a 49 anios,2020,alzheimer,3.780577271781457,-0.6581546884823308,0.6277159977779604,-1.8884780441271332,0.5721686671624715
03.de 40 a 49 anios,2020,metabolic,-0.7211765405308972,-3.5788625882877474,1.9109779799513555,-7.324379428992405,0.16665425241690945
03.de 40 a 49 anios,2020,anemia,4.440679527956959,-3.857447495359996,2.686775535638691,-9.12352754521183,1.408632554491838
03.de 40 a 49 anios,2021,resp,485.1548764899973,365.4207322898842,19.275065659089684,327.6416035980684,403.1998609817
03.de 40 a 49 anios,2021,circ,335.36327100859086,136.99049686905707,29.089704388715795,79.97467626717412,194.00631747094002
03.de 40 a 49 anios,2021,diabetes,69.90131684551591,34.544739158699684,7.4648618379194165,19.913609956377627,49.17586836102174
03.de 40 a 49 anios,2021,alzheimer,-1.2258969709580572,-0.21912043252649588,0.18000307803514043,-0.5719264654753711,0.13368560042237937
03.de 40 a 49 anios,2021,metabolic,4.105097945958803,-2.014195216165598,2.381077148051856,-6.681106426347235,2.6527159940160394
03.de 40 a 49 anios,2021,anemia,0.32090603727594447,1.11289531190167,1.4035996264990775,-1.638159956036522,3.8639505798398623
03.de 40 a 49 anios,2022,resp,208.54359561249663,67.45831690594325,12.971200274150307,42.03476436860865,92.88186944327785
03.de 40 a 49 anios,2022,circ,382.35408876073836,99.3029930308119,11.749719667537471,76.27354248243846,122.33244357918535
03.de 40 a 49 anios,2022,diabetes,35.22664605689486,23.16697294583361,3.5972393715964843,16.116383777504502,30.217562114162718
03.de 40 a 49 anios,2022,alzheimer,2.7676287863024287,-0.9447751309663717,0.32975616263128527,-1.5910972097236908,-0.2984530522090526
03.de 40 a 49 anios,2022,metabolic,4.9313724324485,11.311278674433769,2.395905388971499,6.615304112049631,16.007253236817906
03.de 40 a 49 anios,2022,anemia,-5.798867453405071,-0.7387307314511473,0.9273378564532128,-2.5563129300994443,1.0788514671971496
03.de 40 a 49 anios,2023,resp,78.93231473499598,18.18921135496608,8.918819525377808,0.708325085225578,35.670097624706585
03.de 40 a 49 anios,2023,circ,282.34490651288615,7.701032555120256,12.629384876237008,-17.05256180230428,32.45462691254479
03.de 40 a 49 anios,2023,diabetes,30.55197526827382,-4.786807442671492,2.9019866231214273,-10.47470122398949,0.9010863386465058
03.de 40 a 49 anios,2023,alzheimer,-0.23884545643708574,-0.15690669680311956,0.21868655441234436,-0.5855323434513144,0.2717189498450754
03.de 40 a 49 anios,2023,metabolic,4.757646918938201,2.195392883548953,0.7446024080985595,0.7359721636757766,3.65481360342213
03.de 40 a 49 anios,2023,anemia,7.081359055913914,-0.901456290111102,0.7999575223988354,-2.4693730340128193,0.6664604537906155
03.de 40 a 49 anios,2024,resp,291.32103385749537,NA,21.69383920128936,NA,NA
03.de 40 a 49 anios,2024,circ,409.33572426503383,NA,32.86890782767449,NA,NA
03.de 40 a 49 anios,2024,diabetes,24.87730447965281,NA,4.440478489955892,NA,NA
03.de 40 a 49 anios,2024,alzheimer,-1.2453196991766,NA,0.1750611798969966,NA,NA
03.de 40 a 49 anios,2024,metabolic,15.583921405427901,NA,2.997568661384412,NA,NA
03.de 40 a 49 anios,2024,anemia,2.961585565232901,NA,1.809687454250967,NA,NA
04.de 50 a 59 anios,2015,resp,-348.491334935533,0,0,0,0
04.de 50 a 59 anios,2015,circ,-111.85327507097384,0,0,0,0
04.de 50 a 59 anios,2015,diabetes,-37.808357730677585,0,0,0,0
04.de 50 a 59 anios,2015,alzheimer,1.8253004151191046,0,0,0,0
04.de 50 a 59 anios,2015,metabolic,-6.275108877721611,0,0,0,0
04.de 50 a 59 anios,2015,anemia,-2.2540208287814036,0,0,0,0
04.de 50 a 59 anios,2016,resp,307.5543325322366,NA,0,NA,NA
