PROVRES,SEXO,CAUSA,MAT,GRUPEDAD,CUENTA
02,2,K74,,17_80 y más,7
22,1,C49,,10_45 a 49,1
90,1,I27,,17_80 y más,1
82,2,L08,,17_80 y más,31
50,2,I61,,13_60 a 64,6
06,2,G20, ,17_80 y más,58
90,1,X78,,06_25 a 29,1
94,2,C53,,08_35 a 39,1
94,2,X70,,05_20 a 24,1
18,1,G81,,17_80 y más,1
99,1,A41, ,11_50 a 54,2
06,2,M35, ,14_65 a 69,1
86,9,I21,,99_Sin especificar,2
82,2,Y18,,13_60 a 64,1
18,1,B92,,16_75 a 79,1
42,1,C26,,12_55 a 59,1
82,1,V02,,16_75 a 79,1
66,1,E14,,15_70 a 74,17
90,2,C16,,13_60 a 64,4
62,1,B24,,11_50 a 54,1
38,2,C53,,14_65 a 69,3
06,1,J69, ,09_40 a 44,7
30,1,X74,,05_20 a 24,1
66,1,X49,,10_45 a 49,1
30,1,C91,,10_45 a 49,1
06,1,G40, ,17_80 y más,2
50,2,M25,,17_80 y más,14
66,2,D53,,12_55 a 59,1
06,1,D43,,13_60 a 64,3
78,2,P07,,01_Menor de 1 año,3
06,1,J85, ,15_70 a 74,2
42,1,C95,,10_45 a 49,2
06,2,C92, ,06_25 a 29,2
14,2,R09, ,03_10 a 14,1
06,1,J96, ,09_40 a 44,13
14,2,C38, ,11_50 a 54,1
06,2,C45, ,15_70 a 74,4
30,1,E10,,12_55 a 59,1
30,1,J69,,01_Menor de 1 año,3
50,1,A08,,01_Menor de 1 año,1
06,1,C80,,14_65 a 69,5
22,2,C67,,17_80 y más,2
50,2,G36,,10_45 a 49,1
18,1,C20,,13_60 a 64,2
14,1,N39, ,12_55 a 59,4
90,2,N18,,17_80 y más,19
14,2,Y24, ,12_55 a 59,1
78,1,X99,,07_30 a 34,2
78,1,C71,,06_25 a 29,1
06,1,E87,,16_75 a 79,1
30,2,J81,,15_70 a 74,3
62,2,G30,,15_70 a 74,2
78,2,C34,,15_70 a 74,7
50,1,C92,,14_65 a 69,2
06,2,J90, ,13_60 a 64,4
06,1,C07, ,13_60 a 64,4
