"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"34","1","J47","","17_80 y más","1"
"06","1","K31","","13_60 a 64","1"
"54","1","X95","","15_70 a 74","2"
"06","1","K74","","16_75 a 79","51"
"42","1","I24","","16_75 a 79","1"
"82","2","D38","","10_45 a 49","1"
"06","2","Y34","","08_35 a 39","1"
"82","1","G70","","17_80 y más","1"
"82","1","I61","","14_65 a 69","34"
"62","2","J18","","10_45 a 49","1"
"26","1","C61","","11_50 a 54","1"
"66","2","I33","","01_Menor de 1 año","1"
"50","2","C16","","12_55 a 59","6"
"06","2","X59","","01_Menor de 1 año","5"
"14","2","C25","","14_65 a 69","28"
"82","1","K76","","13_60 a 64","10"
"22","1","C18","","13_60 a 64","10"
"66","1","Q01","","01_Menor de 1 año","1"
"14","2","I33","","17_80 y más","1"
"26","1","C24","","11_50 a 54","1"
"14","1","B00","","17_80 y más","1"
"62","1","G93","","14_65 a 69","1"
"90","1","C71","","05_20 a 24","1"
"90","1","I21","","12_55 a 59","36"
"18","1","V24","","02_1 a 9","1"
"82","1","N17","","12_55 a 59","4"
"02","1","I47","","14_65 a 69","1"
"06","2","M72","","17_80 y más","1"
"06","1","G91","","13_60 a 64","1"
"26","2","I21","","14_65 a 69","5"
"90","1","R54","","16_75 a 79","4"
"78","1","Q21","","01_Menor de 1 año","1"
"02","1","A16","","04_15 a 19","1"
"82","2","R96","","08_35 a 39","1"
"70","1","I10","","17_80 y más","20"
"38","1","C16","","14_65 a 69","6"
"06","2","J98","","12_55 a 59","13"
"50","1","X47","","06_25 a 29","1"
"62","2","N28","","17_80 y más","2"
"22","1","G00","","13_60 a 64","1"
"78","1","C78","","10_45 a 49","1"
"10","2","I64","","11_50 a 54","3"
"10","1","J81","","06_25 a 29","1"
"02","1","I95","","17_80 y más","7"
"42","1","C67","","09_40 a 44","1"
"18","1","P29","","01_Menor de 1 año","2"
"26","1","N19","","11_50 a 54","2"
"38","2","C43","","15_70 a 74","2"
"38","2","B57","","17_80 y más","3"
"86","1","V44","","08_35 a 39","2"
