"term","estimate","std.error","statistic","p.value","age","cause","anio_def","coef","se"
NA,NA,NA,NA,NA,"01.menor a 20 anios","resp",2021,-0.893805146826544,0.297333456786262
NA,NA,NA,NA,NA,"01.menor a 20 anios","resp",2022,-0.0727739232567037,0.172198317636251
NA,NA,NA,NA,NA,"01.menor a 20 anios","resp",2023,2.0909941169414,1.30631811908818
NA,NA,NA,NA,NA,"01.menor a 20 anios","resp",2024,NA,1.719585508407
"(Intercept)",-1.07537990559514,2.01764355369107,-0.532988051149,0.595299706216206,"01.menor a 20 anios","circ",NA,NA,NA
"covid",-0.0469684942271819,0.908516950895465,-0.0516979833792734,0.958879047006818,"01.menor a 20 anios","circ",NA,NA,NA
"factor(anio_def)2016",3.01666666666643,1.55292874158147,1.94256605978863,0.0550614253403816,"01.menor a 20 anios","circ",NA,NA,NA
"factor(anio_def)2017",4.11666666666641,1.61113846166485,2.55512903739665,0.0122201456545665,"01.menor a 20 anios","circ",NA,NA,NA
"factor(anio_def)2018",3.0499999999995,1.97931720381253,1.54093542668382,0.126692282701967,"01.menor a 20 anios","circ",NA,NA,NA
"factor(anio_def)2019",-0.0166666666674063,1.87270069965592,-0.00889980265958597,0.992917939580902,"01.menor a 20 anios","circ",NA,NA,NA
"factor(anio_def)2020",-1.13483335987738,2.25410433640061,-0.503452010428898,0.615824279486023,"01.menor a 20 anios","circ",NA,NA,NA
"factor(anio_def)2021",3.25477693529813,2.31993256258183,1.40296187388995,0.163922643192183,"01.menor a 20 anios","circ",NA,NA,NA
"factor(anio_def)2022",8.42046044866123,2.2897701561877,3.67742606213397,0.000392267852223999,"01.menor a 20 anios","circ",NA,NA,NA
"factor(anio_def)2023",7.73401016269241,2.29022719237342,3.37696198370497,0.00106737954565507,"01.menor a 20 anios","circ",NA,NA,NA
"factor(anio_def)2024",4.94305445303985,2.25328576475194,2.19370952870864,0.0307219614931103,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)2",-1.94223548274177,2.03997702466194,-0.952086939833857,0.343494644745581,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)3",0.00271064227479859,1.90249311379387,0.00142478427656074,0.998866206376933,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)4",-4.38834223047441,1.74100923303069,-2.5205737839973,0.013401196867614,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)5",-1.30813678550288,2.16103210289099,-0.605329640292189,0.546418680941835,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)6",1.02182014834878,2.61794454089993,0.390313901759556,0.697187537706867,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)7",0.250642709463107,1.55416910507519,0.161271195421801,0.872225920650103,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)8",0.124071010630345,2.36680360367067,0.052421337553282,0.958304214578026,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)9",-3.70742303055989,2.08735771063204,-1.77613209833465,0.0789468495844447,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)10",-0.125234691617243,1.9609696615711,-0.0638636558593706,0.949214404469341,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)11",-0.943400990235081,1.95247237086516,-0.48318276064365,0.630089501566677,"01.menor a 20 anios","circ",NA,NA,NA
"factor(month)12",-0.479912434711257,1.81751900389259,-0.26404809725974,0.792320886585039,"01.menor a 20 anios","circ",NA,NA,NA
"covid:factor(anio_def)2020",0.191294078091653,0.920343360742192,0.207850772061188,0.835795151110853,"01.menor a 20 anios","circ",NA,NA,NA
"covid:factor(anio_def)2021",0.0617924412857089,0.921299230874062,0.0670709789121225,0.946667650467325,"01.menor a 20 anios","circ",NA,NA,NA
"covid:factor(anio_def)2022",-0.0342548711534713,0.906278763929022,-0.0377972788471452,0.969929470059291,"01.menor a 20 anios","circ",NA,NA,NA
"covid:factor(anio_def)2023",-0.52853912779324,1.09324702414573,-0.483458098782609,0.629894763847325,"01.menor a 20 anios","circ",NA,NA,NA
NA,NA,NA,NA,NA,"01.menor a 20 anios","circ",2015,-0.0469684942271819,0.908516950895465
NA,NA,NA,NA,NA,"01.menor a 20 anios","circ",2016,NA,0.908516950895465
NA,NA,NA,NA,NA,"01.menor a 20 anios","circ",2017,NA,0.908516950895465
NA,NA,NA,NA,NA,"01.menor a 20 anios","circ",2018,NA,0.908516950895465
NA,NA,NA,NA,NA,"01.menor a 20 anios","circ",2019,NA,0.908516950895465
NA,NA,NA,NA,NA,"01.menor a 20 anios","circ",2020,0.144325583864471,0.127523269713792
NA,NA,NA,NA,NA,"01.menor a 20 anios","circ",2021,0.014823947058527,0.10830436153695
NA,NA,NA,NA,NA,"01.menor a 20 anios","circ",2022,-0.0812233653806532,0.0587537669375756
NA,NA,NA,NA,NA,"01.menor a 20 anios","circ",2023,-0.575507622020422,0.681814507085913
NA,NA,NA,NA,NA,"01.menor a 20 anios","circ",2024,NA,0.908516950895465
"(Intercept)",-0.328741309174578,0.358385922274517,-0.917282986698257,0.361341879415294,"01.menor a 20 anios","diabetes",NA,NA,NA
"covid",-0.568433019868638,0.255032771433392,-2.22886265429264,0.0282059635432825,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(anio_def)2016",0.525000000000018,0.399593093927413,1.31383652014613,0.192098684322863,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(anio_def)2017",0.4666666666667,0.406513470621784,1.14797343850108,0.253892681682734,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(anio_def)2018",-0.00833333333328554,0.340853758643865,-0.0244484126167213,0.980546758060962,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(anio_def)2019",0.266666666666786,0.368650744494207,0.723358546400485,0.471255818400026,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(anio_def)2020",-0.151909933487325,0.463054927185011,-0.328060289544505,0.743595690361142,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(anio_def)2021",-0.14539259957013,0.568902761111435,-0.255566696997715,0.798843826132293,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(anio_def)2022",-0.474743812827855,0.474870378094454,-0.999733474075374,0.320006123232608,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(anio_def)2023",-0.898937689061849,0.397196445137566,-2.26320678361185,0.0259239765503705,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(anio_def)2024",-0.337269731786887,0.670560817826888,-0.502966655403293,0.616164177311387,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(month)2",0.0777322593051165,0.351184940100879,0.221342803830903,0.825305638609108,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(month)3",0.861443052541811,0.472519359202075,1.82308520437448,0.0714690630967283,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(month)4",-0.119812479527636,0.489508914811512,-0.244760566973065,0.80717533697132,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(month)5",-0.274947398630228,0.489922388304612,-0.561206030166718,0.575992547871752,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(month)6",0.476251190796983,0.443001484032202,1.07505552004509,0.285101597785248,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(month)7",0.134948627522266,0.586898542108307,0.22993518954314,0.818641756056796,"01.menor a 20 anios","diabetes",NA,NA,NA
