"age","anio_def","variable","method","cor","p.value","n"
"02.de 20 a 39 anios",2018,"diabetes","spearman",-0.294738656445452,0.352378999454474,12
"02.de 20 a 39 anios",2018,"alzheimer","pearson",-0.186308404984013,0.562074222796337,12
"02.de 20 a 39 anios",2018,"alzheimer","spearman",-0.250872603002127,0.431578745848418,12
"02.de 20 a 39 anios",2018,"metabolic","pearson",0.0101149988235827,0.975111015528683,12
"02.de 20 a 39 anios",2018,"metabolic","spearman",0.1986608438622,0.535937567604743,12
"02.de 20 a 39 anios",2018,"anemia","pearson",-0.0788150761771089,0.807638518954494,12
"02.de 20 a 39 anios",2018,"anemia","spearman",-0.0809897039180135,0.802422268142534,12
"02.de 20 a 39 anios",2019,"covid","pearson",NA,NA,12
"02.de 20 a 39 anios",2019,"covid","spearman",NA,NA,12
"02.de 20 a 39 anios",2019,"resp","pearson",0.494125790306077,0.102500530258314,12
"02.de 20 a 39 anios",2019,"resp","spearman",0.384615384615385,0.218387426912988,12
"02.de 20 a 39 anios",2019,"circ","pearson",0.336450764445716,0.284924556534384,12
"02.de 20 a 39 anios",2019,"circ","spearman",0.394375976514239,0.204581906657955,12
"02.de 20 a 39 anios",2019,"diabetes","pearson",0.522406905902077,0.0814337060870539,12
"02.de 20 a 39 anios",2019,"diabetes","spearman",0.380748501930328,0.222071334780135,12
"02.de 20 a 39 anios",2019,"alzheimer","pearson",0.0686943381263667,0.832006678373013,12
"02.de 20 a 39 anios",2019,"alzheimer","spearman",0,1,12
"02.de 20 a 39 anios",2019,"metabolic","pearson",0.418536431453458,0.175705670397074,12
"02.de 20 a 39 anios",2019,"metabolic","spearman",0.486742025288499,0.108546149344579,12
"02.de 20 a 39 anios",2019,"anemia","pearson",0.367754730291868,0.23955768368395,12
"02.de 20 a 39 anios",2019,"anemia","spearman",0.186666724080508,0.56130883757801,12
"02.de 20 a 39 anios",2020,"covid","pearson",0.896175192784108,7.96314195551494e-05,12
"02.de 20 a 39 anios",2020,"covid","spearman",0.746060688780339,0.00532943475257012,12
"02.de 20 a 39 anios",2020,"resp","pearson",0.230323612189612,0.471413420771211,12
"02.de 20 a 39 anios",2020,"resp","spearman",0.309318886291622,0.327906186358772,12
"02.de 20 a 39 anios",2020,"circ","pearson",0.247930919459999,0.437178053755437,12
"02.de 20 a 39 anios",2020,"circ","spearman",0.0979020979020979,0.766288456385056,12
"02.de 20 a 39 anios",2020,"diabetes","pearson",0.490704202377858,0.105273364422374,12
"02.de 20 a 39 anios",2020,"diabetes","spearman",0.359802349743882,0.250649572495703,12
"02.de 20 a 39 anios",2020,"alzheimer","pearson",0.160560832862074,0.618140377465399,12
"02.de 20 a 39 anios",2020,"alzheimer","spearman",0.370914139302243,0.23523313348604,12
"02.de 20 a 39 anios",2020,"metabolic","pearson",-0.0888981664723552,0.783516082170337,12
"02.de 20 a 39 anios",2020,"metabolic","spearman",-0.0678727276706314,0.833991162671784,12
"02.de 20 a 39 anios",2020,"anemia","pearson",0.765892560489141,0.00368053508118042,12
"02.de 20 a 39 anios",2020,"anemia","spearman",0.829754978808179,0.000839932767365246,12
"02.de 20 a 39 anios",2021,"covid","pearson",0.977856687766184,4.03987274165686e-08,12
"02.de 20 a 39 anios",2021,"covid","spearman",0.811188811188811,0.00236893039782362,12
"02.de 20 a 39 anios",2021,"resp","pearson",0.821889343539201,0.0010380735840445,12
"02.de 20 a 39 anios",2021,"resp","spearman",0.80910807093079,0.00143474036993647,12
"02.de 20 a 39 anios",2021,"circ","pearson",0.691787286134949,0.0126874427904304,12
"02.de 20 a 39 anios",2021,"circ","spearman",0.851139659031091,0.000445901287358501,12
"02.de 20 a 39 anios",2021,"diabetes","pearson",0.519364278025726,0.0835447380130616,12
"02.de 20 a 39 anios",2021,"diabetes","spearman",0.51579264877954,0.086069854045518,12
"02.de 20 a 39 anios",2021,"alzheimer","pearson",0.0253168431739588,0.937750044216432,12
"02.de 20 a 39 anios",2021,"alzheimer","spearman",0.131013944022344,0.684848714427376,12
"02.de 20 a 39 anios",2021,"metabolic","pearson",0.582579447256535,0.0468360012337554,12
"02.de 20 a 39 anios",2021,"metabolic","spearman",0.631023014832953,0.0277825694930669,12
"02.de 20 a 39 anios",2021,"anemia","pearson",0.591305776325405,0.0428708948263553,12
"02.de 20 a 39 anios",2021,"anemia","spearman",0.524620606963621,0.0799208145928616,12
"02.de 20 a 39 anios",2022,"covid","pearson",0.807295778329605,0.00149926235364459,12
"02.de 20 a 39 anios",2022,"covid","spearman",0.0560421174670677,0.862659762625281,12
"02.de 20 a 39 anios",2022,"resp","pearson",0.27418170815501,0.388473882213405,12
