"term","estimate","std.error","statistic","p.value","model","age_group","anio_def","coef","se"
"factor(month)4",-6.81707670399459,21.5331200086614,-0.316585645798311,0.752307804516795,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(month)5",-238.181400126142,22.3873592730821,-10.6391020584783,1.77091453180364e-17,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(month)6",-396.154258302453,30.7366052430487,-12.8886796433724,5.67450084212535e-22,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(month)7",-394.191266562262,29.6002674388928,-13.3171521972237,8.37613625513708e-23,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(month)8",-325.360801007528,27.3208593193453,-11.9088787510116,4.85737297495782e-20,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(month)9",-149.976981121754,22.1864824804336,-6.75983591603669,1.44827555341948e-09,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(month)10",-75.7273638113727,14.0246256476973,-5.39959965518271,5.60539140315503e-07,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(month)11",43.369021313772,19.4149749273957,2.23379229053629,0.02803166451532,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(month)12",-34.2848628349317,22.2925244642476,-1.53795335696131,0.127648076609454,"lm","04.de 50 a 59 anios",NA,NA,NA
"covid:factor(anio_def)2020",-14.1760160694199,4.94971362620575,-2.86400732243709,0.00522935577076892,"lm","04.de 50 a 59 anios",NA,NA,NA
"covid:factor(anio_def)2021",-14.1202962077906,4.94618072792104,-2.85478776140992,0.00537009183763291,"lm","04.de 50 a 59 anios",NA,NA,NA
"covid:factor(anio_def)2022",-14.0443256731597,4.93933779051188,-2.84336205961412,0.00554932884500585,"lm","04.de 50 a 59 anios",NA,NA,NA
"covid:factor(anio_def)2023",-14.5834865349141,5.06924972772352,-2.87685304891523,0.0050389130339678,"lm","04.de 50 a 59 anios",NA,NA,NA
NA,NA,NA,NA,NA,"lm","04.de 50 a 59 anios",2015,15.10155769129,4.94544857465949
NA,NA,NA,NA,NA,"lm","04.de 50 a 59 anios",2016,NA,4.94544857465949
NA,NA,NA,NA,NA,"lm","04.de 50 a 59 anios",2017,NA,4.94544857465949
NA,NA,NA,NA,NA,"lm","04.de 50 a 59 anios",2018,NA,4.94544857465949
NA,NA,NA,NA,NA,"lm","04.de 50 a 59 anios",2019,NA,4.94544857465949
NA,NA,NA,NA,NA,"lm","04.de 50 a 59 anios",2020,0.925541621870067,0.0272099507150008
NA,NA,NA,NA,NA,"lm","04.de 50 a 59 anios",2021,0.98126148349937,0.0106198503150681
NA,NA,NA,NA,NA,"lm","04.de 50 a 59 anios",2022,1.05723201813029,0.0408389508868965
NA,NA,NA,NA,NA,"lm","04.de 50 a 59 anios",2023,0.518071156375894,0.966420629795584
NA,NA,NA,NA,NA,"lm","04.de 50 a 59 anios",2024,NA,4.94544857465949
"(Intercept)",-2791.17654265989,119.521922696184,-23.3528417188775,1.75763103931447e-39,"lm","05.de 60 a 69 anios",NA,NA,NA
"covid",1.13126540150312,2.26450752314112,0.499563543040887,0.618629195833561,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(anio_def)2016",-50.6389536114681,27.6783382287728,-1.82955180303516,0.0707033668253478,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(anio_def)2017",-46.4634897705143,23.6390996180816,-1.96553551197755,0.052505587763645,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(anio_def)2018",-33.1924097040938,23.848257689193,-1.39181696779196,0.167485767299979,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(anio_def)2019",-75.682498815591,24.6896854304957,-3.06534884896148,0.00288686223109066,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(anio_def)2020",-146.307680864307,30.0246493341624,-4.87291888860919,4.82578626525145e-06,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(anio_def)2021",-125.167008574775,25.0758016246421,-4.99154565219454,2.99935159227618e-06,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(anio_def)2022",-193.764552756682,34.4124925078837,-5.63064569392326,2.11290772386205e-07,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(anio_def)2023",-127.455725336521,27.4378888037509,-4.64524534843574,1.1825157170115e-05,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(anio_def)2024",-185.743953200919,33.4817060429644,-5.54762511093576,3.00615374856357e-07,"lm","05.de 60 a 69 anios",NA,NA,NA
"resp",1.33479787161575,0.092462062899628,14.4361679780468,6.27113783543073e-25,"lm","05.de 60 a 69 anios",NA,NA,NA
"circ",1.60384405269201,0.125516387968741,12.7779653210817,9.33422186776757e-22,"lm","05.de 60 a 69 anios",NA,NA,NA
"diabetes",1.75399557688559,0.376342768964183,4.66063312897748,1.1137988311186e-05,"lm","05.de 60 a 69 anios",NA,NA,NA
"alzheimer",3.39655051375735,2.95301270634375,1.15019840803962,0.253178256900252,"lm","05.de 60 a 69 anios",NA,NA,NA
"metabolic",3.03299003616763,1.40744742930936,2.1549579565156,0.0338962106776575,"lm","05.de 60 a 69 anios",NA,NA,NA
"anemia",0.345090541446027,2.09592849448213,0.1646480509018,0.869598620421767,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)2",250.130407607542,35.3916477238353,7.06749822894191,3.55203728536168e-10,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)3",80.811766844691,25.4654994005751,3.17338237014374,0.00207596973153151,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)4",62.4666276111115,31.98913213359,1.95274530581962,0.0540279730660796,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)5",-462.940742614551,32.0965203108717,-14.423393505923,6.62581839126604e-25,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)6",-1056.98755345112,39.6419877385889,-26.6633338474653,6.30933097957407e-44,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)7",-1192.08126373433,41.9787989231093,-28.3972217956452,4.3673918493263e-46,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)8",-840.047944987569,32.4767003155993,-25.8661728816112,6.76390201417872e-43,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)9",-544.277185816288,31.3186947475319,-17.3786676042488,3.40490024993267e-30,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)10",-394.627105326507,31.0506603347906,-12.7091372960062,1.27276302189762e-21,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)11",15.5211898300686,31.7442506656813,0.488944911427649,0.626097096621763,"lm","05.de 60 a 69 anios",NA,NA,NA
"factor(month)12",-113.785821578996,34.0809368443417,-3.33869406520988,0.00123549250266252,"lm","05.de 60 a 69 anios",NA,NA,NA
"covid:factor(anio_def)2020",-0.170690691377213,2.26568457099014,-0.0753373587668555,0.940117301380338,"lm","05.de 60 a 69 anios",NA,NA,NA
"covid:factor(anio_def)2021",-0.181641689116092,2.26523951994385,-0.080186526641825,0.936270983790162,"lm","05.de 60 a 69 anios",NA,NA,NA
"covid:factor(anio_def)2022",-0.181563705194788,2.26230662124243,-0.0802560110508252,0.936215880136501,"lm","05.de 60 a 69 anios",NA,NA,NA
"covid:factor(anio_def)2023",0.152514312794081,2.28531505524771,0.0667366682960698,0.946942732171038,"lm","05.de 60 a 69 anios",NA,NA,NA
NA,NA,NA,NA,NA,"lm","05.de 60 a 69 anios",2015,1.13126540150312,2.26450752314112
NA,NA,NA,NA,NA,"lm","05.de 60 a 69 anios",2016,NA,2.26450752314112
NA,NA,NA,NA,NA,"lm","05.de 60 a 69 anios",2017,NA,2.26450752314112
NA,NA,NA,NA,NA,"lm","05.de 60 a 69 anios",2018,NA,2.26450752314112
NA,NA,NA,NA,NA,"lm","05.de 60 a 69 anios",2019,NA,2.26450752314112
NA,NA,NA,NA,NA,"lm","05.de 60 a 69 anios",2020,0.960574710125908,0.0200388877958902
NA,NA,NA,NA,NA,"lm","05.de 60 a 69 anios",2021,0.949623712387029,0.00849318909092575
NA,NA,NA,NA,NA,"lm","05.de 60 a 69 anios",2022,0.949701696308333,0.0640136672667285
NA,NA,NA,NA,NA,"lm","05.de 60 a 69 anios",2023,1.2837797142972,0.340367300577169
NA,NA,NA,NA,NA,"lm","05.de 60 a 69 anios",2024,NA,2.26450752314112
"(Intercept)",-4366.60696921066,162.518121419879,-26.8684312313035,3.4579144556342e-44,"lm","06.de 70 a 79 anios",NA,NA,NA
"covid",2.86549310575246,1.66536002559669,1.72064482256668,0.0888297735232338,"lm","06.de 70 a 79 anios",NA,NA,NA
"factor(anio_def)2016",-76.9101401360773,34.5841267081236,-2.22385664918385,0.0287181296468395,"lm","06.de 70 a 79 anios",NA,NA,NA
"factor(anio_def)2017",-128.226393618274,30.0533749770598,-4.26662209206623,4.98454887661378e-05,"lm","06.de 70 a 79 anios",NA,NA,NA
"factor(anio_def)2018",-185.559313491034,28.0633115822839,-6.61216738256137,2.82597162740391e-09,"lm","06.de 70 a 79 anios",NA,NA,NA
"factor(anio_def)2019",-238.349915645788,36.8183475830787,-6.47367226646888,5.26884572155784e-09,"lm","06.de 70 a 79 anios",NA,NA,NA
"factor(anio_def)2020",-329.470765841133,49.1170542782519,-6.70786900156219,1.83327236432996e-09,"lm","06.de 70 a 79 anios",NA,NA,NA
"factor(anio_def)2021",-308.596947623802,51.958015539911,-5.93935207911774,5.59045057615827e-08,"lm","06.de 70 a 79 anios",NA,NA,NA
