"age","anio_def","cause","method","cor","p.value","n"
"02.de 20 a 39 anios",2020,"covid","pearson",1,4.25061421071047e-78,12
"02.de 20 a 39 anios",2020,"covid","spearman",1,0,12
"02.de 20 a 39 anios",2021,"covid","pearson",1,0,12
"02.de 20 a 39 anios",2021,"covid","spearman",1,0,12
"02.de 20 a 39 anios",2022,"covid","pearson",1,0,12
"02.de 20 a 39 anios",2022,"covid","spearman",1,0,12
"02.de 20 a 39 anios",2023,"covid","pearson",1,0,12
"02.de 20 a 39 anios",2023,"covid","spearman",1,1.32831694084709e-79,12
"02.de 20 a 39 anios",2024,"covid","pearson",1,1.32831694084709e-79,12
"02.de 20 a 39 anios",2024,"covid","spearman",1,0,12
"02.de 20 a 39 anios",2015,"resp","pearson",NA,NA,12
"02.de 20 a 39 anios",2015,"resp","spearman",NA,NA,12
"02.de 20 a 39 anios",2016,"resp","pearson",NA,NA,12
"02.de 20 a 39 anios",2016,"resp","spearman",NA,NA,12
"02.de 20 a 39 anios",2017,"resp","pearson",NA,NA,12
"02.de 20 a 39 anios",2017,"resp","spearman",NA,NA,12
"02.de 20 a 39 anios",2018,"resp","pearson",NA,NA,12
"02.de 20 a 39 anios",2018,"resp","spearman",NA,NA,12
"02.de 20 a 39 anios",2019,"resp","pearson",NA,NA,12
"02.de 20 a 39 anios",2019,"resp","spearman",NA,NA,12
"02.de 20 a 39 anios",2020,"resp","pearson",-0.0533187654067831,0.869281949894108,12
"02.de 20 a 39 anios",2020,"resp","spearman",-0.269702690310263,0.396580033147263,12
"02.de 20 a 39 anios",2021,"resp","pearson",0.695630058696189,0.0120024945952581,12
"02.de 20 a 39 anios",2021,"resp","spearman",0.699300699300699,0.0145393118705073,12
"02.de 20 a 39 anios",2022,"resp","pearson",0.282608418223837,0.373455905305442,12
"02.de 20 a 39 anios",2022,"resp","spearman",0.20315267581812,0.526563052910977,12
"02.de 20 a 39 anios",2023,"resp","pearson",0.629693910738206,0.0282140054263901,12
"02.de 20 a 39 anios",2023,"resp","spearman",0.328782616422109,0.296730780099507,12
"02.de 20 a 39 anios",2024,"resp","pearson",0.333386432500644,0.289610039581147,12
"02.de 20 a 39 anios",2024,"resp","spearman",0.234488222443838,0.463205847368091,12
"02.de 20 a 39 anios",2015,"circ","pearson",NA,NA,12
"02.de 20 a 39 anios",2015,"circ","spearman",NA,NA,12
"02.de 20 a 39 anios",2016,"circ","pearson",NA,NA,12
"02.de 20 a 39 anios",2016,"circ","spearman",NA,NA,12
"02.de 20 a 39 anios",2017,"circ","pearson",NA,NA,12
"02.de 20 a 39 anios",2017,"circ","spearman",NA,NA,12
"02.de 20 a 39 anios",2018,"circ","pearson",NA,NA,12
"02.de 20 a 39 anios",2018,"circ","spearman",NA,NA,12
"02.de 20 a 39 anios",2019,"circ","pearson",NA,NA,12
